price,volume,closing_time
223.33000000,497.47700000,1757578499999
222.89000000,519.44300000,1757578799999
222.68000000,102.03400000,1757579099999
222.84000000,135.74200000,1757579399999
222.67000000,199.00700000,1757579699999
222.73000000,345.94500000,1757579999999
222.98000000,70.41800000,1757580299999
223.28000000,285.30900000,1757580599999
223.10000000,54.96900000,1757580899999
223.62000000,63.06500000,1757581199999
223.87000000,180.33800000,1757581499999
224.81000000,255.18800000,1757581799999
224.29000000,349.19500000,1757582099999
224.35000000,101.88700000,1757582399999
224.99000000,428.64500000,1757582699999
224.77000000,185.53800000,1757582999999
225.09000000,458.15800000,1757583299999
224.86000000,130.25500000,1757583599999
224.50000000,116.03400000,1757583899999
224.43000000,277.20600000,1757584199999
224.61000000,112.16500000,1757584499999
224.46000000,43.85400000,1757584799999
225.15000000,464.65800000,1757585099999
225.18000000,116.21400000,1757585399999
224.95000000,132.82900000,1757585699999
225.02000000,80.68000000,1757585999999
224.81000000,69.02200000,1757586299999
224.87000000,108.16100000,1757586599999
225.17000000,176.13000000,1757586899999
225.40000000,409.20400000,1757587199999
225.20000000,303.01500000,1757587499999
225.44000000,137.34000000,1757587799999
225.53000000,239.98200000,1757588099999
225.92000000,183.97500000,1757588399999
225.59000000,21.51400000,1757588699999
225.49000000,109.49300000,1757588999999
225.54000000,92.23500000,1757589299999
225.23000000,210.92700000,1757589599999
225.12000000,272.58800000,1757589899999
224.99000000,85.07000000,1757590199999
225.32000000,199.37500000,1757590499999
224.95000000,139.82800000,1757590799999
225.03000000,108.70300000,1757591099999
225.05000000,196.94500000,1757591399999
225.18000000,73.71100000,1757591699999
225.14000000,79.96000000,1757591999999
225.35000000,114.99300000,1757592299999
225.96000000,194.06200000,1757592599999
227.91000000,1203.73900000,1757592899999
227.28000000,474.68100000,1757593199999
227.86000000,169.87900000,1757593499999
228.00000000,359.18900000,1757593799999
225.00000000,3403.13800000,1757594099999
225.93000000,943.54200000,1757594399999
227.00000000,566.82400000,1757594699999
227.88000000,598.36000000,1757594999999
227.25000000,402.42000000,1757595299999
226.71000000,305.46700000,1757595599999
225.38000000,730.85000000,1757595899999
225.77000000,327.73300000,1757596199999
224.70000000,470.49400000,1757596499999
225.68000000,770.59900000,1757596799999
226.26000000,422.92500000,1757597099999
226.10000000,272.50800000,1757597399999
228.06000000,1211.67000000,1757597699999
228.59000000,737.68400000,1757597999999
227.74000000,534.53400000,1757598299999
227.72000000,510.29600000,1757598599999
227.44000000,210.40700000,1757598899999
228.23000000,319.92900000,1757599199999
227.31000000,255.96900000,1757599499999
226.75000000,116.76000000,1757599799999
226.82000000,424.81400000,1757600099999
226.36000000,565.49700000,1757600399999
226.16000000,270.86000000,1757600699999
225.95000000,413.97500000,1757600999999
227.11000000,333.65100000,1757601299999
227.07000000,621.67800000,1757601599999
227.36000000,219.61800000,1757601899999
227.20000000,189.88600000,1757602199999
226.82000000,194.65000000,1757602499999
227.38000000,425.68400000,1757602799999
226.90000000,315.72400000,1757603099999
226.42000000,390.55500000,1757603399999
226.15000000,796.61600000,1757603699999
227.09000000,319.89800000,1757603999999
226.15000000,315.87400000,1757604299999
225.81000000,127.53400000,1757604599999
226.12000000,425.36400000,1757604899999
226.14000000,332.60600000,1757605199999
226.18000000,111.03200000,1757605499999
226.47000000,289.53000000,1757605799999
226.89000000,153.27500000,1757606099999
226.98000000,140.69100000,1757606399999
227.48000000,593.15700000,1757606699999
227.70000000,290.87800000,1757606999999
228.32000000,392.55200000,1757607299999
228.15000000,238.73800000,1757607599999
227.44000000,132.03100000,1757607899999
226.90000000,109.20100000,1757608199999
226.99000000,111.70600000,1757608499999
226.99000000,388.07000000,1757608799999
226.93000000,61.59500000,1757609099999
226.22000000,221.63600000,1757609399999
225.69000000,398.21400000,1757609699999
226.07000000,248.54600000,1757609999999
